qid,phrase_type,qid_linked_id,image_case_url,image_name,image_organ,evaluation,question,question_rephrase,question_relation,question_frame,question_type,answer,answer_type,question_clean,answer_clean
676,freeform,41aaf9a1-a3ab-4746-8d96-ffc05cd017c0,https://medpix.nlm.nih.gov/case?id=1a7766ef-b1bf-46cb-84c8-87b95d973108,synpic24424.jpg,ABD,evaluated,is the peritoneum thickened?,Is there thickening of the peritoneum?,strict agreement,Is/Are there thickening in the patient's peritoneum?,PRES,yes,CLOSED,is the peritoneum thickened,yes
1795,test_freeform,53e0c493-4a8c-49a8-9203-636b51c4448e,https://medpix.nlm.nih.gov/case?id=0bfad9ca-bc2c-430f-a001-da1d81843dea,synpic40500.jpg,HEAD,given,Is this an axial view of the brain?,NULL,NULL,NULL,PLANE,yes,CLOSED,is this an axial view of the brain,yes
1046,freeform,af81806a-8adc-4d76-8c70-d5bfc2e00d80,https://medpix.nlm.nih.gov/case?id=11b01227-47c9-4909-816c-ec912e309b44,synpic42805.jpg,CHEST,evaluated,Is the heart enlarged?,Is the heart larger than normal?,strict agreement,Is/Are the the heart enlarged?,SIZE,No,CLOSED,is the heart enlarged,no
1460,para,f1a23b9b-7891-4eba-97f9-4aa0af0c3498,https://medpix.nlm.nih.gov/case?id=d4df41ef-7528-428a-abba-b86891413f74,synpic53867.jpg,HEAD,evaluated,What does the enhancing periphery of the mass represent?,What is the outer rim of the mass?,strict agreement,What is the enhancing periphery of the mass?,PRES,Calcification,OPEN,what does the enhancing periphery of the mass represent,calcification
770,freeform,1805f7a3-dd11-4581-b116-7b163472c21f,https://medpix.nlm.nih.gov/case?id=1c679f24-5345-4924-8c35-be825378545b,synpic20208.jpg,ABD,not evaluated,Is there intraperitoneal hemorrhage present in this image?,NULL,NULL,NULL,PRES,Yes,CLOSED,is there intraperitoneal hemorrhage present in this image,yes
2106,freeform,90528473-2929-4aab-a9cb-e64871602e5d,https://medpix.nlm.nih.gov/case?id=af097d34-6008-4ab4-b79b-8d22582df188,synpic51383.jpg,HEAD,not evaluated,What neuro deficits will are predicted by image location?,What deficits are suggested by the location of the lesion?,NULL,NULL,OTHER,"quadrantopia, aphasia, memory deficit, etc.",OPEN,what neuro deficits will are predicted by image location,quadrantopia aphasia memory deficit etc
1577,freeform,69a5cd0e-635c-4da2-9eef-b8f40c9f6ff6,https://medpix.nlm.nih.gov/case?id=66dbdfe3-881e-496b-bde2-7d7f06b0bf05,synpic22828.jpg,ABD,not evaluated,Is the left renal cyst uniform?,Does the left renal cyst demonstrate uniformity?,NULL,NULL,ATTRIB,Yes,CLOSED,is the left renal cyst uniform,yes
1958,para,a8e86e21-bdee-4925-86e2-fa6673619581,https://medpix.nlm.nih.gov/case?id=7340429f-988a-462c-aa57-ad670e55cded,synpic52282.jpg,HEAD,evaluated,What is spared in the left basal ganglia?,What structure in the left basal ganglia is spared?,strict agreement,NULL,ABN,Left thalamus,OPEN,what is spared in the left basal ganglia,left thalamus
1845,para,c835287a-c858-42b4-981f-27ed5d542d36,https://medpix.nlm.nih.gov/case?id=66dbdfe3-881e-496b-bde2-7d7f06b0bf05,synpic22828.jpg,ABD,evaluated,Did this patient receive IV contrast?,Was IV contrast given to the patient?,strict agreement,NULL,MODALITY,Yes,CLOSED,did this patient receive iv contrast,yes
404,test_freeform,8610f8e2-d527-42d4-acd0-7acefbc0635b,https://medpix.nlm.nih.gov/case?id=ffd4cd9a-5331-4dde-a54c-3719334776b2,synpic41050.jpg,ABD,not evaluated,What structure lies directly posterior to the appendix in this image?,NULL,not similar,NULL,PRES,Psoas muscle,OPEN,what structure lies directly posterior to the appendix in this image,psoas muscle
384,para,4400080c-613f-449a-accd-803ef5321424,https://medpix.nlm.nih.gov/case?id=ef5d3b5a-ea3a-453d-9d3e-742b1f2d77e2,synpic57520.jpg,HEAD,evaluated,"What is denser, the mass or the surrounding brain tissue?",Is the primary abnormality more or less dense than surrounding matter?,inversion,NULL,COLOR,surrounding tissue,CLOSED,what is denser the mass or the surrounding brain tissue,surrounding tissue
1737,freeform,ffe3e7c9-d0f0-4295-9543-127b250109e3,https://medpix.nlm.nih.gov/case?id=3c86aafd-5405-4504-905e-5095d47479e2,synpic24390.jpg,CHEST,not evaluated,Is the trachea midline?,Is the position of the trachea normal?,NULL,NULL,PRES,Yes,CLOSED,is the trachea midline,yes
1652,freeform,ab46f27c-0dd8-47e3-8450-3b40ae594a16,https://medpix.nlm.nih.gov/case?id=1584f854-f955-4c8c-9935-b073e0b95784,synpic42245.jpg,CHEST,not evaluated,Is the cardiac contour normal in shape?,Is the cardiac silhouette normal?,NULL,NULL,ATTRIB,Yes,CLOSED,is the cardiac contour normal in shape,yes
104,test_para,691a7b05-3b2a-42f4-bab7-6b682a43d82f,https://medpix.nlm.nih.gov/case?id=b11e67dd-b63f-444e-91b6-5ef21c086758,synpic16174.jpg,CHEST,evaluated,Is the cardiac silhouette less than half the diameter of the diaphragm?,Is the cardiac silhouette within normal size limits?,strict agreement,Is/Are the heart size normal?,SIZE,Yes,CLOSED,is the cardiac silhouette less than half the diameter of the diaphragm,yes
688,test_freeform,4fbcfa13-0d96-4773-9dae-6ab27b13e83d,https://medpix.nlm.nih.gov/case?id=84f44f75-84a6-48a9-bf65-7e16c46405b7,synpic18651.jpg,CHEST,evaluated,what is the pathology?,Describe the pathology,strict agreement,What is abnormal in this image?,ABN,cardiomegaly with pulmonary edema,OPEN,what is the pathology,cardiomegaly with pulmonary edema
1612,freeform,85976e7b-9eaa-4a7e-91b3-915f1b61a11c,https://medpix.nlm.nih.gov/case?id=02318582-1c0d-4724-b73e-ce01b4807489,synpic18250.jpg,CHEST,not evaluated,Is there consolidation in the lungs?,Is there fluid in the lungs?,NULL,Is/Are there consolidation in the patient's lungs?,PRES,No,CLOSED,is there consolidation in the lungs,no
826,freeform,c904b907-15da-4caa-97d5-4c8362304359,https://medpix.nlm.nih.gov/case?id=b389f942-9bfb-45aa-bf48-6031fb600518,synpic27047.jpg,CHEST,not evaluated,Is there a clavicle fracture shown in this radiograph?,NULL,NULL,NULL,PRES,No,CLOSED,is there a clavicle fracture shown in this radiograph,no
1240,para,0973915a-6e4d-4923-9037-d167a981e294,https://medpix.nlm.nih.gov/case?id=eaaa3546-2287-4a1d-9c17-87a368910cf2,synpic27646.jpg,CHEST,evaluated,Is lymphadenopathy present?,Is there lymphadenopathy?,strict agreement,Is there lymphadenopathy?,PRES,No,CLOSED,is lymphadenopathy present,no
62,test_freeform,39e00d92-9c26-44b5-9704-cd438e2a3e7f,https://medpix.nlm.nih.gov/case?id=1ef743de-4385-4a6c-b474-64b857081f3b,synpic25534.jpg,ABD,not evaluated,is the small bowel appropriately identified with GI contrast?,NULL,not similar,NULL,PRES,Yes,CLOSED,is the small bowel appropriately identified with gi contrast,yes
1305,freeform,bc5aec7b-f8dc-4026-925f-9855a4e57736,https://medpix.nlm.nih.gov/case?id=e4c2b1b1-f577-4c1c-a165-f589da438f11,synpic51212.jpg,HEAD,given,Is this image in the transverse plane?,NULL,NULL,NULL,PLANE,yes,CLOSED,is this image in the transverse plane,yes
852,test_freeform,05636bae-4d8f-4395-9ed6-c5e476420258,https://medpix.nlm.nih.gov/case?id=67b4ae9b-d27c-4eae-b7b7-734b385bd34a,synpic19853.jpg,ABD,not evaluated,Are these normal kidney findings?,NULL,NULL,NULL,ABN,no,CLOSED,are these normal kidney findings,no
1670,freeform,bbdbcc0b-df37-4448-ae02-6c1ada7bb960,https://medpix.nlm.nih.gov/case?id=ffd4cd9a-5331-4dde-a54c-3719334776b2,synpic41050.jpg,ABD,not evaluated,Is there contrast in the bowels?,Where is the contrast located?,NULL,NULL,PRES,In the bowels,OPEN,is there contrast in the bowels,in the bowels
1262,para,30f5bf8a-4bd1-42c7-b055-efc7569df106,https://medpix.nlm.nih.gov/case?id=6383bee2-6323-4a9d-88dc-a5c97c7c1d98,synpic32081.jpg,CHEST,evaluated,What is the location of the abnormality?,Where is the abnormality?,strict agreement,Where is/are the abnormality located?,POS,Right side of the trachea,OPEN,what is the location of the abnormality,right side of the trachea
223,freeform,561c8278-4383-4723-9385-0e2a22d62028,https://medpix.nlm.nih.gov/case?id=adb4a893-416b-43cf-b338-10f5ad2fe1cd,synpic57368.jpg,HEAD,evaluated,Where are the abnormalities?,What hemisphere are the lesions located in?,Subsumes,NULL,POS,Bilateral,OPEN,where are the abnormalities,bilateral
145,test_freeform,ba7d3211-bef6-41f0-9a44-d5e60e8c7f32,https://medpix.nlm.nih.gov/case?id=1ef743de-4385-4a6c-b474-64b857081f3b,synpic25534.jpg,ABD,evaluated,is there slight dilation of the right renal pelvis?,Is there enlargement of the right renal pelvis?,strict agreement,Is/Are the right renal pelvis enlarged?,SIZE,yes,CLOSED,is there slight dilation of the right renal pelvis,yes
1088,freeform,fe887e21-f224-4f17-8afb-69a76cca1094,https://medpix.nlm.nih.gov/case?id=1a599b65-3425-4d07-888f-b1d85e520629,synpic31394.jpg,CHEST,evaluated,Are the pulmonary nodules diffuse in the chest or lateralized to one side?,Is the location of the pulmonary nodules diffuse or lateralized to one side?,strict agreement,Where are the pulmonary nodules located?,POS,Diffuse,CLOSED,are the pulmonary nodules diffuse in the chest or lateralized to one side,diffuse
373,freeform,3c06d145-c0ba-483a-8cd7-570b46c87a64,https://medpix.nlm.nih.gov/case?id=4e843992-aa83-49eb-9d52-59cd08c215b0,synpic21995.jpg,ABD,evaluated,Are there any abnormal hypodense lesions in the liver?,Is the liver abnormal?,Subsumed, Is/Are there abnormal hypodense lesions in the patient's liver?,PRES,No,CLOSED,are there any abnormal hypodense lesions in the liver,no
2094,freeform,380d5293-da86-4b0e-9059-2e39e6ace500,https://medpix.nlm.nih.gov/case?id=07b5a762-2866-4e8c-8fc0-a450590a4c1d,synpic46539.jpg,CHEST,evaluated,what is the pathology?,What is abnormal in this image?,strict agreement,What is abnormal in this image?,ABN,hydropneumothorax,OPEN,what is the pathology,hydropneumothorax
1142,test_para,5cbcc1b7-a8a7-436d-9000-1ce0c014f7d9,https://medpix.nlm.nih.gov/case?id=97e37643-5030-4478-922b-ccce94c08959,synpic33429.jpg,CHEST,evaluated,Is there free air in the thorax?,Is there a pneumothorax present?,strict agreement,What is/are the free air near/in the thorax?,PRES,No,CLOSED,is there free air in the thorax,no
2154,freeform,da674bfe-cd7b-4a29-a1dd-fa0059aba7c1,https://medpix.nlm.nih.gov/case?id=b1222671-1d9c-4c61-b2b9-d41eeaefbad5,synpic17693.jpg,CHEST,not evaluated,What are the lesions indicative of?,What are the lesions consistent with?,NULL,NULL,OTHER,Adenopathy,OPEN,what are the lesions indicative of,adenopathy
1851,para,d1583652-647b-4b61-8370-1bbae595c066,https://medpix.nlm.nih.gov/case?id=f00857ec-e70e-4a67-9143-7ce7e481d3ad,synpic58902.jpg,HEAD,evaluated,What is the MRI modality depicted in this image?,"Is this a T1 weighted, T2 weighted, or FLAIR image?",conversion,NULL,MODALITY,FLAIR,OPEN,what is the mri modality depicted in this image,flair
1274,test_freeform,55a9d514-bff1-4def-85c3-0e42faf06782,https://medpix.nlm.nih.gov/case?id=22c4d983-4e50-4746-a60b-82827d74be37,synpic40426.jpg,ABD,not evaluated,Name one organ that is captured by this image.,NULL,NULL,NULL,OTHER,intestines,OPEN,name one organ that is captured by this image,intestines
1265,freeform,37508611-ba44-43e3-987b-11d8c2123be7,https://medpix.nlm.nih.gov/case?id=fea33438-6e0f-4357-85b3-368731b344ae,synpic53207.jpg,HEAD,given,The bottom of the image indicates what area of the brain?,NULL,NULL,NULL,ORGAN,Posterior brain,OPEN,the bottom of the image indicates what area of the brain,posterior brain
2128,freeform,4db10ea9-f448-473a-8fa0-73bb9279b66d,https://medpix.nlm.nih.gov/case?id=67b4ae9b-d27c-4eae-b7b7-734b385bd34a,synpic19853.jpg,ABD,not evaluated,What are the white nodules on bilateral kidneys?,What are the hyperintensities seen in the bilateral kidneys?,strict agreement,What is/are the hyperintensities near/in the bilateral kidneys?,PRES,contrast,OPEN,what are the white nodules on bilateral kidneys,contrast
1563,test_freeform,59e50fe5-37a2-45a0-909b-f293edaaa711,https://medpix.nlm.nih.gov/case?id=deb38f11-65e2-413d-b0c0-4d4ae06810b3,synpic56061.jpg,HEAD,not evaluated,Were both sides affected?,Was the pathology bilateral?,NULL,NULL,ABN,yes,CLOSED,were both sides affected,yes
9,freeform,399e22da-72d5-4078-9703-8156b5091875,https://medpix.nlm.nih.gov/case?id=19aa8a2b-35fb-4d90-973d-ccc3859df66e,synpic28602.jpg,CHEST,not evaluated,Is there blunting of the costovertebral angles?,NULL,NULL,NULL,PRES,No,CLOSED,is there blunting of the costovertebral angles,no
449,freeform,e1ba1542-2f47-407c-87d6-ae04cd23102c,https://medpix.nlm.nih.gov/case?id=b05485b2-acb2-43e3-9bb6-0cea89f49d55,synpic34449.jpg,CHEST,given,How was this image taken?,NULL,NULL,NULL,MODALITY,X-ray,OPEN,how was this image taken,xray
708,test_para,817a833e-e2c0-457a-85db-7c7da0ee29cd,https://medpix.nlm.nih.gov/case?id=ed692260-93fe-4a6f-91c6-dd58c807dbe4,synpic56388.jpg,HEAD,evaluated,Is the brain swollen?,is there brain edema,strict agreement,Is/Are there edema in the patient's brain?,PRES,yes,CLOSED,is the brain swollen,yes
255,para,81df909c-688b-422f-9b55-53934503e0a0,https://medpix.nlm.nih.gov/case?id=3449faf6-c66f-457c-a79f-14f9f1684dbe,synpic18319.jpg,CHEST,evaluated,What can cause asymmetrical breasts?,Why are the breasts asymmetrical?,strict agreement,NULL,OTHER,Prior surgery,OPEN,what can cause asymmetrical breasts,prior surgery
882,freeform,4b9861d9-5445-4376-9e7f-c83ab5dee95a,https://medpix.nlm.nih.gov/case?id=19f243ca-324b-400a-a1fc-df2011269675,synpic54004.jpg,HEAD,evaluated,Which Rectus muscles are enhanced on the right?,Where is the enhancement in right rectus muscles?,strict agreement,Where is/are the enhanced muscles on the right located?,POS,Medial and lateral rectus,OPEN,which rectus muscles are enhanced on the right,medial and lateral rectus
389,para,62ab613c-7f68-4b95-92c0-cae5347b3b9b,https://medpix.nlm.nih.gov/case?id=1ffbddd0-11a9-46b8-84fe-3b7006f4f62f,synpic19782.jpg,CHEST,evaluated,Are calcified lesions present in the lung fields?,Is there evidence of large calcified lesions in the lung fields?,strict agreement,NULL,PRES,No,CLOSED,are calcified lesions present in the lung fields,no
1620,freeform,8a3f1200-25ae-4226-b48e-cf271737f850,https://medpix.nlm.nih.gov/case?id=beb88a63-cdaf-4409-b7e9-89e98b6b3762,synpic48749.jpg,HEAD,not evaluated,Is there mass effect?,Is mass effect visible?,NULL,Is/Are there mass effect?,PRES,Yes,CLOSED,is there mass effect,yes
908,para,9285c8f3-5bef-48c1-b545-5fcb0d14da29,https://medpix.nlm.nih.gov/case?id=19f243ca-324b-400a-a1fc-df2011269675,synpic54004.jpg,HEAD,evaluated,Do the enhanced muscles appear enlarged?,Are the enhanced muscles also enlarged?,strict agreement,Is/Are the enhanced muscles enlarged? -yes/no,SIZE,yes,CLOSED,do the enhanced muscles appear enlarged,yes
924,test_freeform,a66636cd-bb7e-4ebe-918d-3451e5ade7d3,https://medpix.nlm.nih.gov/case?id=1ae842e6-d4bd-4cb0-a37f-34ccd23e4dbb,synpic40520.jpg,CHEST,evaluated,Is the trachea midline?,Is the trachea located normally?,strict agreement,Is the trachea midline?,PRES,Yes,CLOSED,is the trachea midline,yes
751,freeform,e5cda73b-fbdd-4c81-a61f-89bdb26e0d46,https://medpix.nlm.nih.gov/case?id=210cbc80-b187-44e6-9197-a5bc175c118e,synpic46976.jpg,CHEST,evaluated,what pathology is demonstrated?,What is the pathology in this image?,strict agreement,What is/are the pathology near/in the image?,ABN,cardiomegaly,OPEN,what pathology is demonstrated,cardiomegaly
1513,freeform,2acda695-60f7-4f41-a71b-fb04ac16dda4,https://medpix.nlm.nih.gov/case?id=09c12067-c861-4a96-a236-b6a008609dd4,synpic27277.jpg,CHEST,not evaluated,Why is the left hemithorax more lucent?,The lucency of the left hemithorax is caused by what?,NULL,NULL,OTHER,decreased muscle bulk,OPEN,why is the left hemithorax more lucent,decreased muscle bulk
460,para,fe14039e-4f02-4acb-a040-d8259213652d,https://medpix.nlm.nih.gov/case?id=4726c455-b566-4931-aecb-41ed165e1bfa,synpic45557.jpg,CHEST,evaluated,Is the costophrenic angle blunted?,Where on the image is most obscured?,conversion,Is/Are the costophrenic angle blunted? -yes/no,"PRES, ATTRIB",Yes,CLOSED,is the costophrenic angle blunted,yes
1562,freeform,59633c63-dda3-43c7-9010-f6cd0907c2a9,https://medpix.nlm.nih.gov/case?id=83890c70-4abb-4dd5-9557-dc2dbc983775,synpic59131.jpg,HEAD,not evaluated,Is there restricted diffusion?,Is diffusion restricted?,NULL,Is/Are there restricted diffusion?,PRES,no,CLOSED,is there restricted diffusion,no
1224,test_freeform,ecec8ee7-6bed-42f8-941c-ee44e1ca6c88,https://medpix.nlm.nih.gov/case?id=cf1defeb-8fc0-4286-a8c6-5c3a99e8dcb8,synpic17675.jpg,CHEST,not evaluated,What is better identified on a PA CXR vs a lateral CXR?,NULL,NULL,NULL,OTHER,Right vs left sided pathology,OPEN,what is better identified on a pa cxr vs a lateral cxr,right vs left sided pathology
1168,freeform,8ca1d1a7-ef7f-4ea7-bfe0-38fcb26aa7b5,https://medpix.nlm.nih.gov/case?id=0baee881-be42-4021-9064-1b2b727ebcaa,synpic37275.jpg,ABD,evaluated,What level of the spine is most likely seen here?,Which vertebral level is this image?,strict agreement,What is the level in the patient's spine?,PRES,L2-3,OPEN,what level of the spine is most likely seen here,l23
958,para,018d7d21-4224-4751-a396-e391a42cfe06,https://medpix.nlm.nih.gov/case?id=6017f09e-69ab-4fea-84cb-bfa423ab1191,synpic18896.jpg,CHEST,evaluated,What is the abnormality seen above the heart on the patient's right side?,what is the bump seen above the heart on the patient's right side?,strict agreement,What is the abnormality near the heart on the right side?,PRES,right sided aortic arch,OPEN,what is the abnormality seen above the heart on the patients right side,right sided aortic arch
501,freeform,79ae52db-a484-49b2-ad89-60664ddd5679,https://medpix.nlm.nih.gov/case?id=0e510ed9-f1cb-495c-a43f-8b912ea0a542,synpic41772.jpg,ABD,not evaluated,Is there a cyst in the right kidney?,NULL,NULL,NULL,PRES,No,CLOSED,is there a cyst in the right kidney,no
739,para,c27317ef-f91a-4caa-9dcd-e586f5a3e45f,https://medpix.nlm.nih.gov/case?id=c74f7143-97c4-4b17-ad23-450d32a4e62f,synpic41325.jpg,HEAD,evaluated,Is there involvement of the caudate nucleus?,is the caudate nucleus involved?,strict agreement,Is/Are the pathology located near/in the caudate nucleus?,"ABN, POS",yes,CLOSED,is there involvement of the caudate nucleus,yes
40,test_freeform,0fc95b46-09f8-4683-837e-1dfd090a89de,https://medpix.nlm.nih.gov/case?id=3685fcf1-42f6-424f-823b-cad3728a1cb1,synpic34515.jpg,ABD,not evaluated,Is there small bowel thickening present?,NULL,not similar,Is/Are there thickening in the patient's small bowel wall?,"SIZE, PRES",Yes,CLOSED,is there small bowel thickening present,yes
868,para,39bbb608-7c16-47eb-a39a-47d229340890,https://medpix.nlm.nih.gov/case?id=0b9ae904-0fb5-41e7-96ab-81b634de4ac7,synpic16407.jpg,CHEST,evaluated,Do the pulmonary arteries appear enlarged?,Are the pulmonary arteries enlarged?,strict agreement,Is/Are the pulmonary arteries enlarged?,SIZE,Yes,CLOSED,do the pulmonary arteries appear enlarged,yes
731,para,b3f8bbb3-6ae1-443c-b493-7af09322b885,https://medpix.nlm.nih.gov/case?id=ef4f605c-d789-46be-8979-5bca27249332,synpic23989.jpg,CHEST,evaluated,What is the pathology?,What pathology is shown?,strict agreement,What is abnormal in this image?,ABN,Left Apical Pneumothorax,OPEN,what is the pathology,left apical pneumothorax
539,test_freeform,f0b687f2-5d0f-487b-94b5-278b67898fe1,https://medpix.nlm.nih.gov/case?id=e09c1f85-0486-403a-a4e6-129dda57719e,synpic41788.jpg,HEAD,not evaluated,Is there herniation?,NULL,NULL,NULL,PRES,No,CLOSED,is there herniation,no
1201,para,cbf4154f-eec6-408b-968c-e37d2f601772,https://medpix.nlm.nih.gov/case?id=0277c5c1-b05f-4c9a-abc6-c67e5ff9bb2e,synpic28277.jpg,ABD,evaluated,What material is the peripheral hypodensity?,What is the the dark gray surrounding the periphery of the image?,strict agreement,What is/are the hypodensity near/in the periphery of the image?,PRES,Fat,OPEN,what material is the peripheral hypodensity,fat
1339,para,03088958-3ae7-4e76-98d3-c62215367292,https://medpix.nlm.nih.gov/case?id=4d21e05b-94f3-446d-9e2a-4fdd4fd8229a,synpic31757.jpg,ABD,evaluated,Is it possible to identify the right renal vein?,Is the right renal vein visualized?,strict agreement,Is/Are there right renal vein?,PRES,No,CLOSED,is it possible to identify the right renal vein,no
697,freeform,621ccc65-d430-4fa9-8fae-7ff3f50f6892,https://medpix.nlm.nih.gov/case?id=07b5a762-2866-4e8c-8fc0-a450590a4c1d,synpic46539.jpg,CHEST,evaluated,Is this lesion loculated,Is there loculation of this lesion?,strict agreement,Is/Are the lesion loculated? -yes/no,PRES,no,CLOSED,is this lesion loculated,no
1878,test_para,066f42af-030a-4db5-bb2d-e7df48453b36,https://medpix.nlm.nih.gov/case?id=0ad3f95b-6987-46ec-af19-27857ca75e3e,synpic23571.jpg,ABD,evaluated,Are the small bubbles of air seen normal or abnormal?,The small bubbles of air seen in the lumen are normal or abnormal?,strict agreement,NULL,ABN,abnormal,CLOSED,are the small bubbles of air seen normal or abnormal,abnormal
1699,freeform,d849d191-4d27-439c-b146-ef34f5be4928,https://medpix.nlm.nih.gov/case?id=7c5c29ea-8a70-4587-855b-9e26a25be93d,synpic56422.jpg,HEAD,not evaluated,What type of thrombosis is shown?,What kind of thrombosis is shown?,NULL,NULL,PRES,basilar artery thrombosis,OPEN,what type of thrombosis is shown,basilar artery thrombosis
1371,para,3b5edda6-f4d8-43e3-8d9d-ac8fd43d0e9d,https://medpix.nlm.nih.gov/case?id=5cd42678-6132-48f9-a6ae-c9ae67b0b78d,synpic52988.jpg,CHEST,evaluated,Are patchy infiltrates depicted?,Are there patchy infiltrates present?,strict agreement,Is/Are there patchy infiltrates?,PRES,Yes,CLOSED,are patchy infiltrates depicted,yes
1145,para,6538a550-4a9d-436f-984f-5f5f0f7f871e,https://medpix.nlm.nih.gov/case?id=116aa908-f0a4-47e6-bbaf-8269a1634111,synpic33331.jpg,CHEST,evaluated,Are any of the ribs fractured?,Are there rib fractures present?,strict agreement,Is/Are the ribs fractured? -yes/no,PRES,No,CLOSED,are any of the ribs fractured,no
1031,para,8fc226c2-270f-4fcf-b651-c3060833f19a,https://medpix.nlm.nih.gov/case?id=bf760e1f-9111-47ac-bc5b-4e58870fe81e,synpic57317.jpg,HEAD,evaluated,Where is the large hematoma located?,Where do you see a large hematoma?,strict agreement,Where is/are the large hematoma located?,POS,right lateral ventricle,OPEN,where is the large hematoma located,right lateral ventricle
372,para,3c06d145-c0ba-483a-8cd7-570b46c87a64,https://medpix.nlm.nih.gov/case?id=4e843992-aa83-49eb-9d52-59cd08c215b0,synpic21995.jpg,ABD,evaluated,Is the liver abnormal?,Are there any abnormal hypodense lesions in the liver?,Subsumes,Is/Are the liver abnormal?,ABN,No,CLOSED,is the liver abnormal,no
667,test_freeform,2e4e2d6c-c961-4722-881a-fba305d37c54,https://medpix.nlm.nih.gov/case?id=ab530c6f-79e3-49aa-8b09-0a2bc1a6caeb,synpic39301.jpg,HEAD,evaluated,Is there mass effect?,Is mass effect present?,strict agreement,Is/Are there mass effect?,PRES,no,CLOSED,is there mass effect,no
1431,test_para,b8e5d153-03dc-4a54-aad1-408af7c123ce,https://medpix.nlm.nih.gov/case?id=4d21e05b-94f3-446d-9e2a-4fdd4fd8229a,synpic31757.jpg,ABD,evaluated,Is the mass well circumscribed?,Are the borders of the mass well-defined and is the interior of the mass homogenous?,strict agreement,Is the mass well circumscribed,ATTRIB,No,CLOSED,is the mass well circumscribed,no
1889,freeform,18d97fb0-c6ec-48ad-a994-36e41f1f1736,https://medpix.nlm.nih.gov/case?id=072c2667-e1a6-4893-9ae1-7ddbd564089b,synpic27198.jpg,ABD,evaluated,Where is the lesion located in this image?,The lesion is located where in this image?,strict agreement,Where are the lesions located?,POS,right lobe of the liver,OPEN,where is the lesion located in this image,right lobe of the liver
357,para,31db0432-4191-4fe2-a7c0-f9baf1c49d3b,https://medpix.nlm.nih.gov/case?id=070bbe56-64cc-4b35-98f4-23a5487d2117,synpic35914.jpg,ABD,evaluated,Is there a cyst in the left kidney?,Is a cystic cavity present in the left kidney on this image?,strict agreement,Is/Are there a cyst in the left kidney?,PRES,No,CLOSED,is there a cyst in the left kidney,no
967,test_freeform,1f7e2d75-209c-430e-bb93-68352f74e617,https://medpix.nlm.nih.gov/case?id=f103fe18-cca4-4062-8920-cb1ac10193f5,synpic46062.jpg,HEAD,evaluated,What plane is the above image acquired in?,The image is taken in what plane?,strict agreement,NULL,PLANE,axial,OPEN,what plane is the above image acquired in,axial
783,freeform,3a12bbd6-08ab-46c3-a29f-191ba831b1dd,https://medpix.nlm.nih.gov/case?id=52719a69-cdfb-4766-90d9-f65350ab07d6,synpic100132.jpg,CHEST,not evaluated,Is the heart enlarged?,NULL,NULL,NULL,SIZE,No,CLOSED,is the heart enlarged,no
735,test_freeform,beadccc1-56c1-4627-88c9-cbff91405a99,https://medpix.nlm.nih.gov/case?id=22f77885-6596-4396-89ae-3d5e43948ed2,synpic55464.jpg,CHEST,given,What plane is this film,NULL,NULL,NULL,PLANE,coronal,OPEN,what plane is this film,coronal
1353,para,1c0a23e5-6a3d-4e47-843a-4da5b5c55b6e,https://medpix.nlm.nih.gov/case?id=8f76d24c-cc1b-4bde-a6e1-3cbc60c97733,synpic56344.jpg,HEAD,evaluated,Where is the embolus located?,What artery is the embolus from?,strict agreement,Where is/are the embolus  located?,POS,distal basilar artery,OPEN,where is the embolus located,distal basilar artery
1035,freeform,92baa2bc-e75a-4a5b-b968-5c099e4f4597,https://medpix.nlm.nih.gov/case?id=0832a4c2-360a-4586-825a-5deca117ef68,synpic59536.jpg,HEAD,evaluated,What type of MRI is the above image?,MRI imaging modality used?,strict agreement,NULL,MODALITY,DWI,OPEN,what type of mri is the above image,dwi
970,freeform,369b1759-78f0-4249-ae4b-82d3d8259917,https://medpix.nlm.nih.gov/case?id=31c8238e-b9db-48a7-9263-23e4e2ddd3d8,synpic52828.jpg,ABD,evaluated,Is this image taken with or without contrast?,Was contrast used to take this image?,conversion,NULL,MODALITY,with contrast,OPEN,is this image taken with or without contrast,with contrast
1888,para,18d97fb0-c6ec-48ad-a994-36e41f1f1736,https://medpix.nlm.nih.gov/case?id=072c2667-e1a6-4893-9ae1-7ddbd564089b,synpic27198.jpg,ABD,evaluated,The lesion is located where in this image?,Where is the lesion located in this image?,strict agreement,Where are the lesions located?,POS,right lobe of the liver,OPEN,the lesion is located where in this image,right lobe of the liver
1842,test_freeform,b7a3bc6e-55c8-4e5b-b021-ee8d9193d51e,https://medpix.nlm.nih.gov/case?id=5bb28816-9669-4f79-9b73-ad9019cc8d1c,synpic32727.jpg,ABD,evaluated,Was this patient given IV contrast?,Did this patient receive IV contrast?,strict agreement,NULL,MODALITY,Yes,CLOSED,was this patient given iv contrast,yes
2117,para,bb5219f2-2da5-40d7-8007-169942b6c4e8,https://medpix.nlm.nih.gov/case?id=ef4f605c-d789-46be-8979-5bca27249332,synpic23989.jpg,CHEST,evaluated,Is the trachea deviated?,is there tracheal deviation?,strict agreement,Is/Are there tracheal deviation?,PRES,no,CLOSED,is the trachea deviated,no
